symbol,price
ETHBTC,0.0594
LTCBTC,0.00234
BNBBTC,0.00769
NEOBTC,0.0002577
QTUMETH,0.001361
EOSETH,0.0003494
SNTETH,0.00001411
BNTETH,0.0002402
BCCBTC,0.079081
GASBTC,0.0000832
BNBETH,0.1295
BTCUSDT,27695.43
ETHUSDT,1645.33
HSRBTC,0.000414
OAXETH,0.0001778
DNTETH,0.00002801
MCOETH,0.005772
ICNETH,0.001663
MCOBTC,0.0002114
WTCBTC,0.00000548
WTCETH,0.000237
LRCBTC,0.00000635
LRCETH,0.00010693
QTUMBTC,0.0000811
YOYOBTC,0.00000008
OMGBTC,0.0000308
OMGETH,0.000791
ZRXBTC,0.00000657
ZRXETH,0.0000994
STRATBTC,0.00003085
STRATETH,0.001053
SNGLSBTC,0.00000013
SNGLSETH,0.00005306
BQXBTC,0.00008703
BQXETH,0.0012635
KNCBTC,0.00002333
KNCETH,0.0003941
FUNBTC,0.00000029
FUNETH,0.00000267
SNMBTC,0.00000057
SNMETH,0.00004986
NEOETH,0.004336
IOTABTC,0.0000055
IOTAETH,0.0000926
LINKBTC,0.0002775
LINKETH,0.00467
XVGBTC,0.00000015
XVGETH,0.00000208
SALTBTC,0.0000425
SALTETH,0.001138
MDABTC,0.00000382
MDAETH,0.0018115
MTLBTC,0.00004487
MTLETH,0.0006834
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.0000208
SNTBTC,0.00000083
ETCETH,0.00952
ETCBTC,0.000565
MTHBTC,0.00000023
MTHETH,0.00004135
ENGBTC,0.000062
ENGETH,0.0018648
DNTBTC,0.00000186
ZECBTC,0.000984
ZECETH,0.01654
BNTBTC,0.00001424
ASTBTC,0.00000317
ASTETH,0.0000696
DASHBTC,0.000976
DASHETH,0.01645
OAXBTC,0.0000058
ICNBTC,0.00005742
BTGBTC,0.000913
BTGETH,0.052745
EVXBTC,0.00000274
EVXETH,0.0006249
REQBTC,0.00000229
REQETH,0.00004995
VIBBTC,0.00000165
VIBETH,0.0000345
HSRETH,0.012474
TRXBTC,0.00000323
TRXETH,0.00005431
POWRBTC,0.0000054
POWRETH,0.000091
ARKBTC,0.00001679
ARKETH,0.001046
YOYOETH,0.00005828
XRPBTC,0.00001906
XRPETH,0.0003207
MODBTC,0.0000428
MODETH,0.001167
ENJBTC,0.00000815
ENJETH,0.0001373
STORJBTC,0.00001532
STORJETH,0.0002991
BNBUSDT,212.9
VENBNB,0.1492
YOYOBNB,0.000598
POWRBNB,0.00385
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,0.00000801
KMDETH,0.0002097
NULSBNB,0.01257
RCNBTC,0.00000074
RCNETH,0.00037604
RCNBNB,0.003473
NULSBTC,0.00000638
NULSETH,0.00051926
RDNBTC,0.00000447
RDNETH,0.0007153
RDNBNB,0.00623
XMRBTC,0.005416
XMRETH,0.0911
DLTBNB,0.0024
WTCBNB,0.001805
DLTBTC,0.00000071
DLTETH,0.00016807
AMBBTC,0.00000035
AMBETH,0.000041
AMBBNB,0.000685
BCCETH,2.47246
BCCUSDT,448.7
BCCBNB,54.29
BATBTC,0.00000628
BATETH,0.0001063
BATBNB,0.001831
BCPTBTC,0.00000048
BCPTETH,0.00008181
BCPTBNB,0.001162
ARNBTC,0.00000761
ARNETH,0.00029362
GVTBTC,0.00001792
GVTETH,0.003846
CDTBTC,0.00000317
CDTETH,0.00005119
GXSBTC,0.00004581
GXSETH,0.0006246
